round,h_ronda,node,aggregation_method,accuracy,precision,recall,f1_score,specificity,sensitivity,trainning_time,loss,cpu_percent_before,cpu_percent_after,ram_mb_before,ram_mb_after,temperature_c,cpu_freq_mhz,open_sockets,latency_model_download_s,latency_model_upload_s,net_bytes_tx_model,net_bytes_tx_system,net_bandwidth_tx_kbps,net_packets_sent,net_errors_out,net_drops_out,net_bytes_rx_model,net_bytes_rx_system,net_bandwidth_rx_kbps,net_packets_recv,net_errors_in,net_drops_in,net_throughput_kbps,net_transmission_time_s,central_net_bytes_rx_model,central_net_bytes_rx_system,central_net_bandwidth_rx_kbps,central_net_throughput_kbps,central_net_transmission_time_s,central_net_bytes_tx_model,central_net_bytes_tx_system,central_net_bandwidth_tx_kbps,central_latency_model_dist_s,ecomp_j,ecomm_j,etotal_j,cumulative_etotal_j,n_train_samples,fednova_tau,nova_grad_available,comm_overhead_bytes,aggregation_time_s,inter_silo_variance,recall_variance,global_recall,best_recall_so_far,straggler_delay_s,worker_arrival_order,rounds_no_improvement,early_stopping_triggered,total_etotal_round_j,cumulative_ealpha_j,converged,converged_round,convergence_time_s
1,0,Nodo_2,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.09145903587341309,4.1710702996504934e-05,2.6,2.4,580.32,657.8,42.84,1500.0,14,0.0,0.12,94781,93120,6199.33,68,0,0,,,,,,,6583.73,0.12,0,714,844.18,2182.58,0.007,0,0,0,0,0.00229824,0.0,0.00229824,0.002298,38,9,False,0,0.04,4.1e-05,0.0,1.0,1.0,0.001,"{""Nodo_2"": 6.191, ""Nodo_3"": 6.191, ""Nodo_1"": 6.192, ""Nodo_5"": 6.192, ""Nodo_4"": 6.192}",0,False,0.021168,0.021168,False,1,
1,0,Nodo_3,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.058564186096191406,0.013010950051248074,2.6,5.0,583.44,680.5,44.3,1500.0,14,0.0,0.238,94781,93061,3124.4,69,0,0,,,,,,,3955.48,0.238,0,635,999.67,2970.69,0.005,0,0,0,0,0.001512,0.0,0.001512,0.001512,25,6,False,0,0.04,4.1e-05,0.0,1.0,1.0,0.001,"{""Nodo_2"": 6.191, ""Nodo_3"": 6.191, ""Nodo_1"": 6.192, ""Nodo_5"": 6.192, ""Nodo_4"": 6.192}",0,False,0.021168,0.021168,False,1,
1,0,Nodo_1,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.1147470474243164,1.4901161193847656e-07,2.6,0.0,556.3,625.82,49.17,1500.0,14,0.0,0.443,94781,93226,1682.67,68,0,0,,,,,,,1832.5,0.443,0,480,764.56,2593.12,0.005,0,0,0,0,0.0038707200000000002,0.0,0.0038707200000000002,0.003871,64,12,False,0,0.04,4.1e-05,0.0,1.0,1.0,0.001,"{""Nodo_2"": 6.191, ""Nodo_3"": 6.191, ""Nodo_1"": 6.192, ""Nodo_5"": 6.192, ""Nodo_4"": 6.192}",0,False,0.021168,0.021168,False,1,
1,0,Nodo_5,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.3263888359069824,0.0,2.5,2.4,616.25,683.77,42.84,1500.0,15,0.0,0.101,94781,93347,7394.72,68,0,0,,,,,,,7996.78,0.101,0,467,638.55,2186.37,0.006,0,0,0,0,0.011975040000000001,0.0,0.011975040000000001,0.011975,198,39,False,0,0.04,4.1e-05,0.0,1.0,1.0,0.001,"{""Nodo_2"": 6.191, ""Nodo_3"": 6.191, ""Nodo_1"": 6.192, ""Nodo_5"": 6.192, ""Nodo_4"": 6.192}",0,False,0.021168,0.021168,False,1,
1,0,Nodo_4,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.05742001533508301,0.013010950051248074,2.5,2.5,638.71,707.07,43.33,1500.0,17,0.0,1.564,94781,93145,476.59,69,0,0,,,,,,,945.65,1.564,0,471,719.81,2425.35,0.005,0,0,0,0,0.001512,0.0,0.001512,0.001512,25,6,False,0,0.04,4.1e-05,0.0,1.0,1.0,0.001,"{""Nodo_2"": 6.191, ""Nodo_3"": 6.191, ""Nodo_1"": 6.192, ""Nodo_5"": 6.192, ""Nodo_4"": 6.192}",0,False,0.021168,0.021168,False,1,
2,0,Nodo_2,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.07795214653015137,0.0,5.1,0.0,653.87,656.42,43.82,1500.0,16,0.206,0.154,94781,93122,4850.23,68,0,0,94589,112929,4385.64,305,0,0,5684.2,0.154,0,47177,28200.83,30551.25,0.013,0,463040,13261.76,0.279,0.00229824,0.103,0.10529823999999999,0.107596,38,9,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_2"": 5.041, ""Nodo_1"": 5.041, ""Nodo_3"": 5.041, ""Nodo_4"": 5.041, ""Nodo_5"": 5.041}",1,False,0.509668,0.530836,False,1,
2,0,Nodo_1,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.10628914833068848,0.0,0.0,2.6,626.03,633.81,48.2,1500.0,16,0.108,0.11,94781,93115,6774.0,68,0,0,94589,101491,7521.93,179,0,0,7177.25,0.11,0,44150,31300.64,32788.04,0.011,0,297786,12814.86,0.186,0.0038707200000000002,0.054,0.05787072,0.061741,64,12,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_2"": 5.041, ""Nodo_1"": 5.041, ""Nodo_3"": 5.041, ""Nodo_4"": 5.041, ""Nodo_5"": 5.041}",1,False,0.509668,0.530836,False,1,
2,0,Nodo_3,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.05444788932800293,0.0,2.6,5.0,681.8,685.91,44.79,1500.0,16,0.324,0.158,94781,93071,4708.02,68,0,0,94589,124009,3059.32,432,0,0,5463.11,0.158,0,570,931.11,3015.5,0.005,0,467705,9407.8,0.398,0.001512,0.162,0.16351200000000002,0.165024,25,6,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_2"": 5.041, ""Nodo_1"": 5.041, ""Nodo_3"": 5.041, ""Nodo_4"": 5.041, ""Nodo_5"": 5.041}",1,False,0.509668,0.530836,False,1,
2,0,Nodo_4,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.04980301856994629,0.0,7.7,7.3,706.13,713.66,42.84,1500.0,19,0.137,1.149,94781,93187,649.07,71,0,0,94589,101491,5939.61,179,0,0,1331.94,1.149,0,515,854.71,2972.4,0.005,0,462300,13925.16,0.266,0.001512,0.0685,0.070012,0.071524,25,6,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_2"": 5.041, ""Nodo_1"": 5.041, ""Nodo_3"": 5.041, ""Nodo_4"": 5.041, ""Nodo_5"": 5.041}",1,False,0.509668,0.530836,False,1,
2,0,Nodo_5,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.3338503837585449,0.0,2.6,10.0,683.8,689.82,43.33,1500.0,17,0.202,0.621,94781,94078,1212.79,68,0,0,94589,112996,4474.33,306,0,0,1455.72,0.621,0,896,663.48,1723.85,0.011,0,463262,13341.09,0.278,0.011975040000000001,0.101,0.11297504000000001,0.12495,198,39,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_2"": 5.041, ""Nodo_1"": 5.041, ""Nodo_3"": 5.041, ""Nodo_4"": 5.041, ""Nodo_5"": 5.041}",1,False,0.509668,0.530836,False,1,
3,0,Nodo_3,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.048706769943237305,0.0,2.6,0.0,677.75,677.17,43.82,1500.0,18,0.107,0.099,94781,93091,7502.97,68,0,0,94589,103043,7728.27,137,0,0,8405.76,0.099,0,1132,730.64,1696.21,0.012,0,278939,17430.47,0.128,0.001512,0.0535,0.055012,0.220036,25,6,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_3"": 5.387, ""Nodo_1"": 5.388, ""Nodo_2"": 5.388, ""Nodo_5"": 5.388, ""Nodo_4"": 5.388}",2,False,0.342668,0.873504,False,1,
